Product,Exact public claim,Evidence receipt,Status,Required qualifier,Owner
Platform,CrisPRO encodes patient biology and therapeutic mechanism in a shared 8-dimensional vector space and computes quantitative mechanism alignment.,capability:CAP_01 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED,"Research Use Only. Mechanism representation is computational, not a diagnostic.",Computational Biology Lead
Platform,"CrisPRO is a research platform; it is NOT a clinical decision support tool, NOT a diagnostic, NOT FDA-cleared or CE-marked.",platform_identity:core | crispro_kg_v2/kg_modules/platform_identity_governance.json,ALLOWED,State RUO explicitly wherever the platform is described.,Governance / Regulatory
Interception,Interception prioritizes candidate metastasis targets for a defined disease mission and returns a ranked target report with per-model evidence contributions and uncertainty.,capability:CAP_04 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED,Not validated target discovery; ranking is a research hypothesis requiring wet-lab validation.,Target-Discovery Lead
Interception,Interception generates ranked CRISPR guide/perturbation candidates with CFD-style off-target risk records for pre-synthesis design-risk review.,capability:CAP_04_algorithm_detail | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED,Not a guarantee a guide works in wet lab; not comprehensive genomic safety certification.,Functional-Genomics/CRISPR Lead
Interception,Interception produces AlphaFold3-derived structural receipts under study-defined gates as design-confidence support.,capability:CAP_04 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED_WITH_QUALIFIER,"AF3 gate 'pass' is a modeling receipt, NOT experimental confirmation or therapeutic structural validation. Only AF3 model 0 reported; Enformer gated off in production.",Computational Biology Lead
In-Silico Trials,"In-Silico Trials computes asset-vs-population mechanism fit via PATH A [fit = clip((p·t)/‖t‖₂,0,1)] with axis-level contribution breakdown.",capability:CAP_02 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED,"Mechanism fit is a coherence measure, NOT drug-response, efficacy, or outcome prediction. PATH B is prohibited.",Computational Biology Lead
In-Silico Trials,In-Silico Trials decodes historical trials for mechanism/population/resistance/comparator mismatch (e.g. ATR/DDR: Berzosertib RS-High ORR 40% vs RS-Low 5%).,program:quantitative_anchors:atr_ddr | crispro_kg_v2/kg_modules/quantitative_anchors.json,ALLOWED,"Decoding is a mechanistic hypothesis + evidence synthesis, NOT a definitive causal explanation for the trial outcome.",Translational Oncology Lead
In-Silico Trials,In-Silico Trials ranks a mechanism-relevant trial and comparator landscape from a curated 22+ trial vector library.,capability:CAP_03 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED,"Ranking is for exploration/prioritization; it does NOT predict enrollment, responders, or trial success.",Program Lead
In-Silico Trials,In-Silico Trials proposes a two-gate biomarker/cohort framework (Gate 1 expression + Gate 2 IO-permissiveness) with Vector-Scalpel biomarker ranking.,capability:CAP_08 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED_WITH_QUALIFIER,Not a validated companion diagnostic. Gate-1 ~28% MSS mCRC fraction is OPEN_ASSUMPTION OA-08 (not prospectively validated).,Translational Oncology Lead
In-Silico Trials,"In-Silico Trials maps resistance/escape liabilities; e.g. ZEB1 is a prognostic biomarker in the bevacizumab arm (OV continuous Cox HR=1.4803 [1.1188,1.9586], p=0.006042).",program:quantitative_anchors:escapemap_ov | crispro_kg_v2/kg_modules/quantitative_anchors.json,ALLOWED_WITH_QUALIFIER,"ZEB1 is PROGNOSTIC, NOT arm-specific (arm interaction p=0.246). Does NOT predict resistance in individual patients. GBM ZEB1 is PERMANENTLY CLOSED.",Translational Oncology Lead
In-Silico Trials,"In-Silico Trials assembles evidence-tiered program dossiers; BRIEF-1 (ZEB1→ITGAV, delta -0.7184, FDR 0.001203) and BRIEF-4 (SPP1→NRF2, delta -0.7326, FDR 8e-6) are CRISPR_VALIDATED.",program:quantitative_anchors:brief_programs | crispro_kg_v2/kg_modules/quantitative_anchors.json,ALLOWED_WITH_QUALIFIER,BRIEF-2 (PTEN-null→ITGAV) is a COMPUTATIONAL HYPOTHESIS (DepMap NULL) — must be disclosed. BRIEF-3 r=0.050 p=0.780 is insignificant (MECHANISTICALLY_GROUNDED). Deal-readiness requires scientific/BD review.,Program Lead / BD
In-Silico Trials,In-Silico Trials provides PGx/exposure evidence and dosing-rule output where validated rules exist (PGx safety is a 15% component of the holistic score).,capability:CAP_10 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED_WITH_QUALIFIER,"PGx output is decision support, NOT independent prescribing authority. A physician retains prescribing decisions.",Clinical Pharmacology Lead
Tumor Board,Tumor Board (Oncology Arbiter) converts a patient's molecular/clinical context into a traceable research case package via a five-layer pipeline (L1-L5) with structured output + evidence pointers.,arbiter_layer:l5_arbiter_output | scientist-monai-moat/README.md,ALLOWED,Research Use Only on EVERY output. NOT clinical decision support and does NOT predict individual patient outcomes.,Translational Oncology Lead
Tumor Board,"Tumor Board surfaces mechanism-aligned therapy/trial options to investigate and candidate synthetic-lethality dependencies, each with an evidence trace.",capability:CAP_05 | crispro_kg_v2/kg_modules/capability_registry.json,ALLOWED_WITH_QUALIFIER,"Options are for research exploration, NOT a treatment directive; synthetic lethality is NOT a patient-specific therapeutic fact.",Translational Oncology Lead
Tumor Board,"Tumor Board displays missing data and confidence, and applies safety/governance flags (RUO, quarantines, prohibited-claim guards) to each case.",regulatory_posture:oncology_arbiter_ruo | scientist-monai-moat/docs/model_cards/errata.md,ALLOWED,"Flags do not substitute for clinical/regulatory review. Heuristic/proxy models (e.g. therapy-nccn-lite, monai-detector-heuristic) are RUO, not validated diagnosis.",Governance / Regulatory
Interception / In-Silico Trials,CrisPRO's metastasis/target model achieves MSK-MET AUROC 0.689 (external validation).,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,FABRICATED metric. Never ship. The 0.689 figure is not a real external-validation result.,Governance / Regulatory
In-Silico Trials,BreAK CRC-001 achieves a mechanism fit of 0.7375 (proof of platform accuracy).,program:quantitative_anchors:path_a_formula | crispro_kg_v2/kg_modules/quantitative_anchors.json,BLOCKED,RETIRED figure. Do not use the 0.7375 fit as a public proof point.,Program Lead / BD
Platform,A saturated FDA-extension AUROC demonstrates that CrisPRO generalizes.,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,A saturated AUROC is NOT evidence of generalization. Never present it as such.,Governance / Regulatory
Platform,CrisPRO's internal-consistency metrics constitute independent validation.,gov_kgv2:mandatory_disclosures | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,Internal-consistency ≠ independent validation. Never conflate the two.,Computational Biology Lead
Interception,An AlphaFold3 'pass' gate proves the structure/interaction is experimentally validated.,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,"AF3 'pass' is a modeling receipt, NOT experimental validation. Never equate them.",Computational Biology Lead
In-Silico Trials,"Trial-fit identifies/predicts the responder subpopulation, enrollment, or trial outcome.",program:quantitative_anchors:responder_analysis | crispro_kg_v2/kg_modules/quantitative_anchors.json,BLOCKED,"Trial-fit is a mechanistic hypothesis + evidence synthesis. No out-of-sample responder/enrollment/outcome validation exists (IPD KM separations are outcome-defined, i.e. descriptive).",Translational Oncology Lead
Tumor Board / In-Silico Trials,A synthetic-lethality finding is a patient-specific therapeutic fact.,gov_kgv2:mandatory_disclosures | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,"SL findings are vulnerability HYPOTHESES with an evidence tier, never a patient-specific therapeutic fact.",Translational Oncology Lead
Tumor Board / In-Silico Trials,CrisPRO's PGx rules are independent prescribing instructions.,capability:CAP_10 | crispro_kg_v2/kg_modules/capability_registry.json,BLOCKED,PGx output is exposure/safety decision support only; prescribing authority remains with a physician.,Clinical Pharmacology Lead
In-Silico Trials / Tumor Board,LATIFY delta is [any specific value] (e.g. +0.366 or +0.2641).,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,QUARANTINED — vector-version conflict. Only 'responder 0.8936 vs non-responder 0.6295' is a safe citation; never cite a delta.,Computational Biology Lead
In-Silico Trials,DDR axis value 0.983 is a validated figure.,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,"QUARANTINED (DL-07) — implausibly high, likely computation error. Never publish.",Computational Biology Lead
Interception / Tumor Board,GBM ZEB1 is an escape marker.,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,GBM ZEB1 PERMANENTLY CLOSED — 3 datasets all null/contradicted. Do not apply EscapeMap to GBM.,Translational Oncology Lead
In-Silico Trials,BRIEF-2 (PTEN-null→ITGAV) is CRISPR-validated.,gov_kgv2:prohibited_claims | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,BRIEF-2 is a COMPUTATIONAL HYPOTHESIS — DepMap NULL across all 3 proxies. Must be disclosed as such.,Program Lead / BD
In-Silico Trials,PATH B (cosine similarity with ‖p‖₂ in the denominator) is an acceptable fit formula.,gov:path_b_prohibited | crispro_kg_v2/kg_modules/platform_identity_governance.json,BLOCKED,"PATH B is PROHIBITED in ALL outputs. Only PATH A [clip((p·t)/‖t‖₂,0,1)] is valid.",Computational Biology Lead
